feature,importance,fold
new_month_lag_mean_y,113.5,4
new_month_lag_mean_y,113.0,2
new_month_lag_mean_y,110.0,3
new_purchase_amount_max,108.0,3
new_purchase_amount_max,106.0,1
new_purchase_month_mean,100.5,3
new_month_lag_mean_y,100.25,1
new_purchase_amount_max,97.25,4
new_purchase_amount_max,94.25,2
new_purchase_month_mean,91.0,2
N_hist_auth_month_diff_mean,90.25,3
new_purchase_month_mean,81.75,4
elapsed_time,76.5,1
new_purchase_date_uptonow,75.25,3
new_purchase_month_mean,71.5,1
hist_Y_purchase_amount_max_mean_x,68.75,2
new_category_1_mean,66.75,3
N_hist_auth_month_diff_mean,65.25,2
new_category_1_mean,63.0,4
hist_Y_purchase_amount_max_mean_x,62.25,3
hist_Y_purchase_amount_max_mean_x,62.25,4
new_category_1_mean,61.0,2
N_hist_auth_month_diff_mean,60.25,1
new_purchase_date_ptp,59.25,3
N_hist_auth_month_diff_mean,59.0,4
hist_Y_purchase_amount_max_mean_x,58.75,1
new_purchase_date_ptp,58.75,1
Y_hist_auth_month_diff_mean,57.0,3
elapsed_time,57.0,3
new_purchase_date_average,54.5,3
new_purchase_date_uptonow,53.75,2
new_purchase_date_uptonow,53.75,1
new_purchase_date_ptp,52.75,2
elapsed_time,51.5,4
new_category_1_mean,51.25,1
elapsed_time,48.75,2
union_purchase_date_uptonow,48.75,3
new_purchase_amount_max_mean,48.75,2
hist_month_diff_mean,48.5,1
Y_union_auth_category_1_mean,48.0,3
new_purchase_amount_max_mean,47.75,3
hist_month_diff_mean,47.5,3
new_purchase_date_average,47.25,1
hist_N_purchase_amount_skew_skew_x,46.0,2
new_purchase_date_average,46.0,2
union_purchase_date_uptonow,45.75,1
Y_union_auth_month_diff_mean,45.5,3
new_purchase_amount_mean,45.25,3
new_purchase_date_average,44.75,4
Y_union_month_nunique,44.75,3
union_merchants_category_1_sum,44.5,3
hist_purchase_date_max,44.5,3
new_purchase_date_uptonow,44.25,4
Y_union_month_nunique,43.75,1
hist_month_diff_mean,43.25,4
hist_N_purchase_amount_var_skew_x,43.0,3
