feature,importance,fold
new_month_lag_mean,139.25,1
N_hist_auth_month_diff_mean,138.75,1
new_purchase_month_mean,135.0,1
new_purchase_amount_max,131.25,1
new_purchase_amount_max,127.75,4
elapsed_time,121.25,1
new_month_lag_mean,118.25,4
new_purchase_date_uptonow,113.75,1
new_month_lag_mean,110.5,2
new_purchase_amount_max,109.0,3
new_purchase_month_mean,107.0,4
new_month_lag_mean,101.75,3
new_purchase_amount_max,100.0,2
N_hist_auth_month_diff_mean,98.75,4
union_purchase_date_uptonow,87.0,1
N_hist_auth_month_diff_mean,86.5,3
hist_Y_purchase_amount_max_mean_x,79.75,1
N_hist_auth_month_diff_mean,78.25,2
new_purchase_date_ptp,77.25,1
new_category_1_mean,76.25,4
hist_Y_purchase_amount_max_mean_x,75.25,2
hist_Y_purchase_amount_max_mean_x,74.25,4
hist_Y_purchase_amount_max_mean_y,74.0,2
new_purchase_month_mean,73.75,3
new_purchase_date_average,73.5,1
hist_Y_purchase_amount_max_mean_x,73.0,3
hist_Y_purchase_amount_max_mean_y,73.0,3
new_purchase_month_mean,72.25,2
Y_union_auth_month_diff_mean,70.5,1
hist_Y_purchase_amount_max_mean_y,67.5,1
new_purchase_date_uptonow,66.25,3
new_category_1_mean,64.75,1
new_purchase_date_uptonow,64.25,4
new_category_1_mean,63.0,3
hist_Y_purchase_amount_max_mean_y,63.0,4
hist_N_purchase_amount_skew_skew_x,62.5,1
hist_month_diff_mean,60.5,1
new_purchase_date_ptp,60.0,2
new_purchase_date_uptonow,59.75,2
new_category_1_mean,59.75,2
elapsed_time,59.5,4
elapsed_time,58.0,3
Y_union_auth_month_diff_mean,57.25,4
new_purchase_amount_mean,56.75,1
union_month_diff_mean,56.75,1
union_purchase_date_uptonow,55.5,4
new_purchase_date_ptp,54.75,3
new_purchase_amount_std,54.5,1
Y_hist_auth_purchase_date_max,54.25,1
N_hist_auth_purchase_date_uptonow,53.5,1
Y_union_month_nunique_x,53.5,1
new_purchase_date_average,53.25,4
hist_N_purchase_amount_skew_skew_x,52.75,4
union_authorized_flag_mean,52.0,1
new_purchase_date_ptp,52.0,4
hist_purchase_date_max,52.0,1
union_purchase_date_uptonow,51.75,3
Y_hist_auth_month_diff_mean,51.25,1
union_purchase_date_uptonow,49.75,2
merchants_avg_purchases_lag3_min,49.25,1
hist_N_purchase_amount_min_skew_x,49.25,1
Y_hist_auth_purchase_date_min,49.0,1
hist_N_purchase_amount_count_skew_x,49.0,1
new_purchase_amount_mean,48.75,4
hist_N_purchase_amount_median_skew_x,48.0,1
Y_hist_auth_purchase_date_min,47.5,4
hist_N_purchase_amount_skew_skew_x,47.25,2
hist_month_diff_mean,46.25,4
new_purchase_date_average,46.25,2
Y_union_auth_month_diff_mean,46.0,2
union_merchants_category_1_sum,45.75,4
new_purchase_amount_mean,45.5,3
new_purchase_date_average,45.5,3
hist_N_purchase_amount_var_skew_x,45.25,3
Y_union_month_nunique,45.25,1
merchants_avg_sales_lag12_min,45.25,1
new_month_diff_mean,45.0,1
elapsed_time,45.0,2
Y_union_auth_purchase_date_max,44.75,1
hist_N_purchase_amount_mean_skew_x,44.75,2
hist_N_purchase_amount_max_skew_x,44.5,1
union_Y_month_lag_skew,44.0,1
Y_union_auth_purchase_date_uptonow,44.0,1
new_purchase_date_min,43.75,1
hist_N_purchase_amount_skew_mean_x,43.75,4
hist_N_purchase_amount_min_skew_x,43.25,2
Y_union_auth_month_diff_mean,43.25,3
hist_N_purchase_amount_mean_skew_x,43.0,1
Y_union_auth_category_1_mean,42.5,1
merchants_avg_purchases_lag3_median,42.5,1
Y_union_auth_category_1_mean,42.5,4
hist_N_purchase_amount_min_skew_x,42.5,4
union_purchase_amount_median_skew,42.0,1
Y_union_month_nunique,42.0,4
union_purchase_amount_skew_std,41.5,1
union_month_diff_mean,41.5,4
union_merchants_category_1_mean,41.25,1
hist_N_purchase_amount_skew_std_x,41.25,1
Y_union_month_nunique,41.0,3
hist_purchase_date_max,40.5,4
union_purchase_date_max,40.5,1
hist_Y_purchase_amount_min_skew_x,40.25,1
union_purchase_amount_skew_skew,40.25,1
union_merchants_category_1_sum,39.75,3
Y_union_auth_category_1_mean,39.75,3
historica_merchants_category_1_sum,39.75,2
hist_N_purchase_amount_skew_mean_x,39.75,1
Y_union_month_nunique,39.5,2
new_purchase_amount_std,39.25,4
hist_N_purchase_amount_var_skew_x,39.25,4
new_purchase_amount_std,39.0,3
union_purchase_amount_median_skew,38.75,4
union_month_diff_std,38.5,1
hist_Y_purchase_amount_median_mean_y,38.5,1
N_hist_auth_installments_sum,38.5,1
union_month_diff_mean,38.5,3
