feature,importance,fold
new_purchase_amount_max,170.25,4
new_purchase_amount_max,160.25,1
new_purchase_amount_max,137.75,3
N_hist_auth_month_diff_mean,133.25,4
new_purchase_month_mean,124.5,4
new_month_lag_mean_y,123.75,4
new_month_lag_mean_y,121.5,1
N_hist_auth_month_diff_mean,119.75,1
new_purchase_amount_max,118.0,2
new_purchase_month_mean,116.75,1
new_purchase_amount_max_mean,111.25,4
elapsed_time,109.75,1
new_purchase_amount_max_mean,106.75,1
new_month_lag_mean_y,104.0,2
new_purchase_amount_max_mean,102.0,3
new_purchase_amount_max_mean,101.75,2
new_month_lag_mean_y,101.5,3
Y_hist_auth_purchase_amount_max,99.5,4
Y_hist_auth_purchase_amount_max,89.5,2
Y_hist_auth_purchase_amount_max,86.25,1
new_purchase_date_ptp,85.0,1
new_category_1_mean,84.75,4
new_purchase_date_uptonow,84.5,1
N_hist_auth_month_diff_mean,83.25,3
Y_hist_auth_purchase_amount_max,83.0,3
N_hist_auth_month_diff_mean,76.0,2
elapsed_time,73.25,4
new_purchase_month_mean,72.25,3
new_purchase_date_uptonow,71.5,4
new_purchase_date_average,71.25,1
new_purchase_month_mean,70.25,2
new_category_1_mean,68.25,1
new_category_1_mean,67.5,3
new_category_1_mean,67.25,2
union_authorized_flag_mean,65.0,1
N_hist_auth_installments_sum,64.75,4
hist_month_diff_mean,64.5,4
hist_month_diff_mean,64.0,1
union_authorized_flag_mean,62.5,4
new_purchase_date_ptp,62.25,4
union_purchase_amount_median_skew,62.25,4
new_purchase_date_ptp,62.0,2
new_purchase_amount_std,59.5,1
new_purchase_date_uptonow,58.75,3
new_purchase_date_average,57.75,4
Y_hist_auth_purchase_date_min,57.0,4
new_purchase_date_ptp,57.0,3
elapsed_time,57.0,3
Y_union_month_nunique_x,56.5,1
new_purchase_amount_std,55.75,4
union_purchase_date_uptonow,55.0,1
N_hist_auth_installments_sum,53.5,1
historica_merchants_category_1_sum,53.25,4
merchants_avg_purchases_lag3_min,52.75,1
hist_purchase_amount_skew_skew,52.5,4
hist_purchase_date_max,50.5,4
Y_hist_auth_month_diff_mean,50.25,1
Y_union_auth_month_diff_mean,50.0,4
hist_purchase_amount_median_skew,49.5,4
Y_union_month_nunique,49.5,1
N_hist_auth_purchase_date_uptonow,49.0,4
historica_merchants_category_1_sum,49.0,1
new_purchase_date_uptonow,48.75,2
union_month_diff_mean,48.75,4
union_purchase_amount_median_skew,48.25,1
Y_union_auth_category_1_mean,48.25,4
hist_purchase_amount_skew_skew,48.0,1
Y_union_month_nunique_x,47.75,4
new_purchase_amount_sum,47.75,1
union_merchants_category_1_sum,47.75,4
hist_purchase_amount_median_skew,47.25,1
N_union_weekofyear_nunique_x,46.75,4
Y_union_month_nunique,46.75,3
hist_purchase_date_max,46.25,1
new_purchase_date_average,46.0,3
Y_hist_auth_month_diff_mean,45.75,4
historica_merchants_category_1_sum,45.5,2
new_purchase_date_average,45.25,2
new_purchase_amount_sum,45.25,4
union_month_diff_mean,45.0,1
Y_union_auth_month_diff_mean,45.0,1
N_hist_auth_purchase_amount_std,44.75,4
union_month_lag_mean_x,44.5,4
union_purchase_amount_skew_mean,44.5,4
hist_purchase_amount_var_skew,44.5,4
Y_union_month_nunique,44.0,4
hist_purchase_amount_var_skew,44.0,1
Y_union_auth_category_1_mean,43.75,3
hist_installments_skew_skew,43.75,4
Y_hist_auth_purchase_date_min,43.5,1
union_month_diff_std,43.0,4
Y_hist_auth_month_diff_mean,42.75,3
union_purchase_amount_min_skew,42.75,1
N_hist_auth_month_lag_mean,42.75,1
union_authorized_flag_mean,42.75,3
N_hist_auth_category_1_sum,42.5,4
union_merchants_category_1_sum,42.25,3
N_hist_auth_purchase_amount_std,42.25,1
union_merchants_category_1_mean,42.25,1
merchants_avg_sales_lag12_min,42.0,4
union_purchase_date_uptonow,42.0,4
union_purchase_amount_median_skew,42.0,2
merchants_avg_sales_lag12_min,42.0,1
union_purchase_amount_skew_std,41.5,4
hist_purchase_date_min,41.5,4
union_purchase_amount_count_skew,41.25,4
hist_purchase_amount_max_skew,41.25,4
score_numerical_skew,41.0,1
Y_union_month_nunique_x,41.0,3
hist_purchase_amount_skew_std,40.75,1
hist_purchase_amount_min_skew,40.5,1
union_purchase_date_max,40.5,1
hist_purchase_amount_skew_skew,40.25,2
union_purchase_amount_max_skew,40.25,1
N_hist_auth_month_lag_mean,40.25,4
hist_purchase_amount_count_skew,40.0,1
elapsed_time,40.0,2
new_month_diff_mean,39.5,1
hist_purchase_amount_min_skew,39.25,4
new_purchase_amount_sum,39.25,3
union_purchase_amount_skew_skew,38.75,1
historica_merchants_category_1_sum,38.75,3
score_numerical_skew,38.5,4
merchants_avg_purchases_lag3_min,38.5,4
score_log3_max,38.25,4
feature_1,38.25,4
union_purchase_amount_var_skew,38.25,1
union_month_diff_std,38.25,1
hist_purchase_amount_skew_std,38.25,4
N_hist_auth_purchase_date_ptp,38.25,1
union_month_lag_skew,38.25,4
Y_union_month_nunique,38.0,2
Y_union_auth_month_lag_mean,38.0,4
union_merchants_category_1_sum,38.0,1
union_purchase_amount_var_skew,38.0,4
Y_hist_auth_month_lag_mean,38.0,4
Y_hist_auth_purchase_date_max,37.75,1
hist_month_diff_mean,37.75,3
new_month_diff_mean,37.75,4
union_purchase_amount_skew_skew,37.75,4
new_purchase_amount_std,37.75,3
union_purchase_amount_skew_std,37.5,1
union_purchase_amount_median_skew,37.5,3
N_union_hour_nunique_x,37.5,4
hist_purchase_amount_skew_std,37.25,3
new_purchase_date_min,37.0,4
hist_purchase_amount_max_skew,36.75,1
Y_union_auth_category_1_mean,36.75,1
union_month_lag_skew,36.5,1
union_month_lag_mean_x,36.25,1
union_purchase_amount_count_skew,36.25,1
Y_union_auth_category_1_mean,36.25,2
Y_union_auth_month_diff_mean,36.0,3
Y_union_auth_purchase_date_max,36.0,1
union_purchase_amount_min_skew,36.0,4
N_hist_auth_purchase_date_uptonow,35.75,1
hist_purchase_amount_median_skew,35.75,2
N_hist_auth_purchase_date_ptp,35.75,4
Y_hist_auth_purchase_date_max,35.75,4
hist_purchase_amount_var_skew,35.75,3
union_authorized_flag_mean,35.75,2
