feature,importance,fold
N_hist_month_diff_mean,180.25,2
N_hist_month_diff_mean,178.25,3
new_purchase_month_mean,151.0,2
new_month_lag_mean_x,142.25,2
new_month_lag_mean_x,138.5,3
new_purchase_amount_max,135.5,3
new_month_lag_mean_x,135.0,1
new_month_lag_mean_x,130.75,4
new_purchase_amount_max,130.0,4
new_purchase_month_mean,129.75,3
new_purchase_date_ptp,125.75,2
new_purchase_amount_max,122.25,1
new_purchase_date_ptp,119.5,3
new_purchase_date_ptp,118.25,1
new_purchase_amount_max,118.0,2
union_purchase_date_max,116.5,3
N_hist_month_diff_mean,116.0,1
elapsed_time,114.0,1
union_purchase_date_max,112.75,2
new_purchase_month_mean,112.5,4
N_hist_month_diff_mean,110.25,4
union_purchase_date_max,105.75,1
new_purchase_month_mean,105.5,1
N_hist_category_3_1_sum,96.0,3
new_purchase_amount_max_mean,93.75,2
new_purchase_date_max,91.25,3
new_category_1_mean,90.0,2
Y_union_authorizedpurchase_date_max,89.75,3
new_purchase_amount_max_mean,89.0,3
elapsed_time,86.5,3
elapsed_time,86.0,2
N_hist_category_3_1_sum,85.5,2
hist_purchase_date_max,85.0,2
new_category_1_mean,84.25,3
Y_union_authorizedpurchase_date_max,83.0,2
Y_hist_month_diff_mean,82.5,3
Y_hist_purchase_date_max,81.75,2
new_purchase_date_max,81.5,2
union_purchase_date_max,80.75,4
new_purchase_amount_max_mean,80.25,1
Y_union_authorizedpurchase_date_max,78.75,1
N_hist_purchase_date_min,78.75,3
new_purchase_date_ptp,78.5,4
hist_purchase_date_max,77.25,3
new_purchase_amount_max_mean,76.25,4
hist_purchase_amount_max_mean,75.25,3
new_category_1_mean,75.25,4
N_hist_category_3_1_sum,74.5,1
Y_hist_month_diff_mean,73.25,2
elapsed_time,73.0,4
hist_purchase_amount_skew_std,72.5,3
N_hist_category_3_1_sum,71.75,4
new_purchase_date_max,71.25,1
new_purchase_date_min,71.0,3
hist_purchase_date_max,70.0,1
N_hist_purchase_date_min,67.75,2
hist_purchase_amount_max_mean,67.75,2
new_purchase_date_min,66.5,2
new_category_1_mean,65.5,1
Y_hist_purchase_date_min,64.75,2
Y_union_month_nunique_x,64.5,3
Y_hist_month_diff_mean,64.5,4
hist_purchase_amount_max_mean,64.5,4
hist_purchase_amount_max_mean,64.25,1
Y_union_authorizedcategory_1_mean,63.75,2
Y_union_authorizedcategory_1_mean,63.5,3
Y_union_month_nunique_x,63.0,2
Y_hist_purchase_date_max,62.25,1
Y_union_authorizedmonth_diff_mean,61.75,3
N_hist_purchase_date_max,61.5,2
hist_purchase_amount_var_skew,61.25,2
new_purchase_amount_std,61.0,1
hist_month_diff_mean,60.0,2
Y_hist_month_diff_mean,60.0,1
hist_purchase_date_max,60.0,4
N_hist_purchase_amount_min,59.25,2
Y_hist_purchase_date_min,59.0,4
Y_hist_purchase_date_max,58.5,3
Y_union_month_nunique_x,58.25,1
hist_month_diff_mean,58.25,3
hist_purchase_amount_skew_skew,58.25,3
Y_union_authorizedpurchase_date_max,58.0,4
historica_merchants_category_1_sum,57.75,2
new_purchase_amount_mean,57.75,2
N_hist_purchase_date_min,57.5,1
hist_purchase_amount_skew_skew,57.5,2
new_purchase_amount_mean,56.5,1
N_hist_purchase_date_max,56.5,3
new_purchase_amount_mean,56.0,3
merchants_avg_purchases_lag3_min,55.0,2
union_month_lag_skew,54.75,2
Y_hist_purchase_date_min,54.75,3
Y_union_month_nunique,54.25,3
new_purchase_date_min,53.75,1
new_purchase_month_std,53.75,2
new_purchase_amount_mean,53.75,4
union_purchase_amount_median_skew,53.0,4
N_hist_purchase_amount_sum,53.0,2
merchants_avg_purchases_lag3_median,53.0,2
new_purchase_date_max,53.0,4
union_purchase_amount_median_skew,53.0,1
Y_union_authorizedcategory_1_mean,52.5,4
Y_union_authorizedmonth_diff_mean,52.25,2
Y_union_month_nunique,52.25,1
N_hist_purchase_date_ptp,52.25,3
Y_hist_purchase_date_min,52.0,1
new_purchase_amount_std,52.0,4
Y_union_authorizedmonth_diff_mean,51.75,1
N_hist_purchase_date_ptp,51.75,2
hist_purchase_date_min,51.5,2
Y_union_month_nunique,51.5,2
union_merchants_category_1_sum,51.5,3
union_purchase_amount_skew_mean,51.25,2
union_month_lag_mean_y,51.0,2
union_purchase_amount_skew_skew,51.0,2
hist_purchase_amount_skew_std,50.25,2
union_purchase_amount_median_skew,50.25,3
N_hist_purchase_amount_sum,50.25,3
Y_union_month_nunique_x,49.5,4
merchants_active_months_lag12_skew,49.5,2
hist_purchase_amount_median_skew,49.25,2
N_hist_installments_sum,49.25,3
N_hist_purchase_amount_std,49.25,2
historica_merchants_category_1_sum,49.25,3
new_merchants_category_1_sum,49.25,3
union_merchants_category_1_mean,49.0,1
N_hist_purchase_amount_min,48.75,3
N_hist_purchase_date_min,48.75,4
union_month_lag_skew,48.75,3
