feature,importance,fold
N_hist_month_diff_mean,187.5,1
N_hist_month_diff_mean,183.25,3
new_purchase_month_mean,162.75,1
new_month_lag_mean_x,160.25,1
N_hist_month_diff_mean,150.25,2
new_purchase_month_mean,147.0,3
new_month_lag_mean_x,146.5,3
N_hist_month_diff_mean,145.25,4
elapsed_time,145.0,1
new_purchase_amount_max,143.25,1
new_purchase_date_ptp,141.5,1
new_month_lag_mean_x,136.75,2
new_purchase_month_mean,132.25,4
new_purchase_amount_max,130.5,3
union_purchase_date_max,130.25,1
new_purchase_month_mean,129.75,2
new_purchase_amount_max,129.5,4
new_month_lag_mean_x,129.25,4
new_purchase_date_max,116.75,1
new_purchase_date_max,115.25,3
new_purchase_amount_max,113.0,2
new_purchase_date_ptp,112.0,3
Y_union_authorizedpurchase_date_max,111.25,1
new_purchase_date_ptp,105.25,2
N_hist_category_3_1_sum,104.75,1
union_purchase_date_max,103.5,3
N_hist_category_3_1_sum,96.0,3
hist_purchase_date_max,93.0,1
hist_purchase_date_max,90.5,3
new_purchase_amount_max_mean,89.25,3
new_purchase_amount_max_mean,88.5,2
N_hist_purchase_date_min,86.5,3
new_purchase_amount_max_mean,85.75,1
N_hist_purchase_date_min,85.75,1
elapsed_time,84.25,3
new_purchase_date_ptp,84.0,4
union_purchase_date_max,82.75,4
Y_hist_month_diff_mean,82.25,3
Y_union_authorizedpurchase_date_max,82.25,3
hist_month_diff_mean,82.0,1
Y_hist_purchase_date_max,81.75,1
new_purchase_amount_max_mean,80.5,4
union_purchase_date_max,80.25,2
new_category_1_mean,80.0,3
Y_union_authorizedpurchase_date_max,77.75,2
new_purchase_date_max,77.75,4
hist_purchase_date_max,77.0,2
N_hist_category_3_1_sum,76.75,4
new_category_1_mean,76.25,2
new_purchase_date_max,74.25,2
new_purchase_amount_mean,74.25,1
new_category_1_mean,74.0,4
hist_purchase_date_max,74.0,4
elapsed_time,73.75,4
Y_union_month_nunique_x,73.25,1
hist_purchase_amount_max_mean,71.5,3
N_hist_category_3_1_sum,70.5,2
hist_purchase_amount_max_mean,70.5,1
new_purchase_date_min,70.5,1
new_category_1_mean,68.0,1
new_purchase_date_min,68.0,3
elapsed_time,67.75,2
Y_hist_month_diff_mean,67.75,1
hist_purchase_amount_max_mean,67.5,4
hist_month_diff_mean,67.25,3
Y_union_authorizedpurchase_date_max,67.0,4
Y_union_authorizedmonth_diff_mean,66.75,1
new_purchase_amount_std,66.25,1
hist_purchase_amount_var_skew,66.0,1
Y_union_month_nunique_x,65.5,3
hist_purchase_amount_max_mean,65.25,2
union_purchase_amount_median_skew,64.5,1
Y_union_month_nunique,64.5,1
N_hist_purchase_date_max,64.25,1
Y_hist_purchase_date_min,63.0,4
hist_purchase_amount_skew_skew,63.0,1
Y_hist_purchase_date_max,62.75,3
Y_hist_purchase_date_min,62.25,1
hist_purchase_amount_skew_std,62.25,3
Y_union_authorizedmonth_diff_mean,62.0,3
new_purchase_amount_mean,61.25,3
historica_merchants_category_1_sum,60.75,3
Y_hist_month_diff_mean,60.5,4
N_hist_purchase_amount_min,59.75,1
hist_purchase_amount_skew_skew,59.75,3
Y_hist_month_diff_mean,59.5,2
union_merchants_category_1_sum,59.5,3
Y_union_authorizedcategory_1_mean,59.0,3
historica_merchants_category_1_sum,58.5,1
merchants_avg_purchases_lag3_median,57.75,1
union_month_lag_mean_y,57.75,1
Y_union_month_nunique,57.75,3
union_month_diff_mean,57.5,1
hist_purchase_amount_median_skew,57.25,1
Y_hist_purchase_date_max,57.25,2
new_purchase_date_min,56.75,2
N_hist_purchase_date_min,56.25,4
union_purchase_amount_skew_std,55.75,1
merchants_avg_purchases_lag3_min,55.25,1
Y_hist_purchase_date_max,55.0,4
union_purchase_amount_median_skew,54.75,4
union_month_lag_skew,54.75,1
N_hist_purchase_date_ptp,54.75,3
new_purchase_amount_mean,54.5,2
merchants_avg_sales_lag12_min,54.0,1
Y_union_authorizedcategory_1_mean,53.75,2
Y_hist_purchase_date_min,53.5,3
Y_union_authorizedcategory_1_mean,53.25,1
Y_hist_purchase_date_min,53.0,2
hist_purchase_amount_min_skew,52.5,1
N_hist_month_lag_mean,52.5,1
Y_union_month_nunique_x,52.25,4
hist_purchase_amount_mean_skew,52.25,1
new_purchase_amount_mean,52.25,4
N_hist_purchase_amount_min,51.25,3
historica_merchants_category_1_sum,51.0,2
new_purchase_amount_std,50.75,4
union_month_diff_mean,50.75,3
hist_purchase_amount_max_skew,50.75,1
Y_union_month_nunique_x,50.5,2
