feature,importance,fold
N_hist_auth_month_diff_mean,151.25,1
N_hist_auth_month_diff_mean,140.25,2
new_purchase_amount_max,132.75,1
new_purchase_month_mean,127.0,1
new_purchase_amount_max,126.75,2
new_purchase_month_mean,120.25,2
new_month_lag_mean_y,119.25,1
new_month_lag_mean_y,112.25,2
new_month_lag_mean_y,105.75,4
new_purchase_amount_max,102.25,3
new_month_lag_mean_y,92.25,3
new_purchase_amount_max,84.5,4
new_purchase_date_uptonow,83.25,1
days_feature_2,81.0,1
N_hist_auth_month_diff_mean,78.75,3
new_purchase_month_mean,75.75,3
hist_month_diff_mean,74.5,2
N_hist_auth_month_diff_mean,72.75,4
new_purchase_amount_max_mean,72.5,1
days_feature_2,71.75,2
new_purchase_amount_max_mean,71.5,4
new_purchase_date_uptonow,71.5,2
N_hist_auth_purchase_amount_sum,70.0,1
new_purchase_amount_max_mean,70.0,2
hist_month_diff_mean,68.0,1
hist_purchase_amount_max_mean,67.0,1
new_purchase_date_ptp,64.0,1
new_purchase_date_ptp,63.75,2
Y_union_auth_category_1_mean,63.25,1
N_hist_auth_installments_sum,63.0,1
new_category_1_mean,63.0,2
Y_union_auth_month_diff_mean,62.75,1
new_category_1_mean,62.75,1
historica_merchants_category_1_sum,62.5,2
new_category_1_mean,62.25,4
new_purchase_month_mean,62.25,4
new_purchase_amount_mean,61.5,2
Y_union_month_nunique_x,61.5,1
days_feature_2,61.0,4
new_purchase_date_average,60.5,1
new_purchase_amount_max_mean,60.5,3
hist_purchase_amount_skew_skew,60.0,1
hist_purchase_date_max,59.75,1
N_hist_auth_installments_sum,59.0,2
new_purchase_date_average,57.0,2
new_purchase_date_ptp,57.0,3
new_category_1_mean,57.0,3
Y_hist_auth_month_diff_mean,57.0,1
N_hist_auth_purchase_amount_sum,56.75,2
Y_union_auth_month_diff_mean,56.75,2
hist_purchase_amount_max_mean,54.75,4
union_month_diff_mean,54.75,1
hist_purchase_amount_max_mean,54.5,3
union_authorized_flag_mean,54.25,1
